Pendidikan Agama,Pendidikan Pancasila,Bahasa Inggris,Bahasa Mandarin,Matematika (Umum),Biologi,Fisika,Kimia,Geografi,Sejarah,Sosiologi,Ekonomi,"Pendidikan Jasmani, Olahraga, dan Kesehatan",Informatika,Seni Musik,Bahasa Indonesia,Rata-rata,Pendidikan Agama (Next Sem),Pendidikan Pancasila (Next Sem),Bahasa Inggris (Next Sem),Bahasa Mandarin (Next Sem),Matematika (Umum) (Next Sem),Biologi (Next Sem),Fisika (Next Sem),Kimia (Next Sem),Geografi (Next Sem),Sejarah (Next Sem),Sosiologi (Next Sem),Ekonomi (Next Sem),"Pendidikan Jasmani, Olahraga, dan Kesehatan (Next Sem)",Informatika (Next Sem),Seni Musik (Next Sem),Bahasa Indonesia (Next Sem),Rata-rata (Next Sem)
69.48034794798617,67.10673917962,62.781722614657035,59.248886876528296,65.97468733312411,64.45099769216492,66.95953686519482,65.65942977346602,67.73133434165284,59.80739470725332,69.07054109322779,63.47156878851816,72.8598751281825,59.03763167460833,71.16338978088241,63.4731246823694,65.51732552996475,75,75,67,63,69,68,69,71,71,59,84,64,77,64,74,68,69.88
56.051588476071835,56.88924932387247,57.706941953172475,61.42950822615366,61.922855934321575,56.44017847445118,59.18690553283916,70.0200302872034,67.94639434464763,61.49029684251423,59.498695884985075,59.90883512773538,62.37626835779616,54.19471566815205,58.02179580702735,50.96575812475613,59.628126147856236,55,63,62,72,72,58,69,77,72,64,60,60,60,59,55,52,63.12
65.23455830352985,66.47442238901716,60.822510379006594,71.10837650695362,57.10961437549176,55.91656828945436,64.36070178330333,68.47393420356423,71.6580811477928,60.94402137615876,68.63184685765994,63.04590034299993,62.375306190799364,67.65674237793682,66.50005708257056,55.356481905582214,64.10432021948883,68,66,72,90,59,63,69,75,81,61,72,73,69,74,74,63,70.56
74.99785103066961,74.51560605277737,64.48733577449248,69.59416694922717,70.08530021345382,68.91851811115966,64.86362351281302,64.25703244234987,67.4873789270829,73.47879437833694,70.33315005501228,65.76207762160959,71.47364283528185,53.37243617888974,73.35897778390064,58.916580388149626,67.8689045159504,83,79,66,71,79,72,68,72,73,80,74,69,74,61,79,65,72.81
57.01702841936766,53.230883653252604,52.355825747778795,64.63336706327593,56.490727119823866,60.5617525350369,58.5946302319874,61.21443726249893,59.2133425816846,52.41427200544047,63.810567223619024,56.36045021057676,51.04632363308457,56.68865732155376,66.33303207955487,63.08034183695079,58.31535243284293,73,61,52,66,62,60,58,67,68,61,69,60,56,66,66,65,63.12
57.0860545432148,57.08302669366196,57.22113995916718,69.2130551330583,60.738992476411866,60.979523451209445,63.98073248541331,60.02326101038667,57.53410448615058,57.847565969829205,58.47130891818378,58.643204032704894,62.467462933438995,59.089044644290595,62.492515601331995,58.42573231471118,60.08104529082279,68,68,67,67,65,63,74,64,70,63,63,62,67,65,67,62,65.94
68.28924002911742,57.90506065487642,72.47770245104937,69.62850645702693,72.88611462683522,53.41478718656852,78.3379376014406,67.1981159367611,73.43697816122454,62.69653444190931,70.95993360284982,62.62898626166868,64.77721927405794,77.4662208468709,66.94265207372023,68.98322844343558,68.00182612808828,78,67,73,72,77,62,82,73,83,66,82,61,68,77,72,77,73.12
68.18751229920832,66.31558308562757,64.58926817148243,65.66197865809568,75.85425157195591,63.54907966059662,64.84266887933939,69.0904456258026,69.36480331055446,69.77232517356644,67.03082475591047,58.122149082112124,72.00433130727002,58.10544668067111,65.35035097195971,60.06579439566775,66.11917585186379,72,72,67,72,83,68,72,74,74,71,73,61,80,60,71,64,70.88
57.33193633736028,59.29644012184264,59.25941414757661,59.76223184150167,65.72118441561848,59.92029957789514,56.431844893872,62.47306391176703,63.59998051494844,51.51458899464028,60.639628419574535,61.15849178187973,56.164810553525285,64.53116213688334,56.90235013516261,58.280510337682955,59.56174613260819,61,69,63,67,71,55,56,69,70,56,71,68,67,60,69,61,64.56
61.84744109651048,62.79069545583716,57.23142478345382,55.51254580495835,70.68532553405468,58.477993476338185,57.755838470648285,51.94584964991125,59.51799147948231,56.09735125089233,70.92287601861167,67.76188566464299,59.27204849204121,73.97497924465137,67.6216276528878,61.088643300386714,62.03153233595679,63,73,64,61,75,58,64,58,72,58,69,68,71,77,78,66,67.19
45.185882961569824,69.1376243988914,50.73504920211971,49.455917801153234,62.79576369598589,69.88167356763405,64.60427562849029,60.50245713619949,60.65668324426412,61.94998932983923,61.47755448487152,59.08886865578457,58.20391705569707,57.36994589644008,53.91308859160431,56.27953615160382,58.82738923763429,53,78,60,55,63,74,68,69,72,73,70,60,69,64,56,65,65.56
49.20656716117179,57.17965309817497,52.72839569639413,52.15340464606986,58.570821987916105,64.63136266387171,62.26293426216028,49.81884821403283,52.72321054929703,62.375207172089794,52.75891426445717,56.54818548216359,60.421611727271475,52.829628957830536,58.198228762878514,51.001223757557696,55.83801240020859,54,63,61,65,66,71,72,56,53,64,65,59,68,54,68,54,62.06
58.2029731380741,62.808721028542855,53.24484269017182,63.412185047632164,61.111622363196766,63.97226112991591,62.329382028153475,68.0305135076994,61.835933871069706,59.062783652203905,61.82129887299159,63.92630150301211,61.454111709458694,61.41276981384958,57.699852918796395,57.89530677007543,61.138803752802744,65,65,55,71,66,70,62,69,73,61,66,70,62,72,63,62,65.75
43.42057241771254,59.181482492645706,44.21428259975458,46.96907278773147,46.84156244886502,54.90822066143321,48.95885038525087,56.672309140079676,47.06614565549167,51.82856958783002,46.256863510412224,61.15934441557795,44.495606681563444,51.98270232784615,53.602483181371504,52.5025942639685,50.6287914098459,48,62,44,59,52,58,60,60,48,54,48,62,47,67,54,52,54.69
50.448972543046295,50.726307338767704,51.594468197330386,50.64040082929239,56.19480642140938,62.42802584539159,48.58795191239567,44.52639593953945,50.93400059567856,64.27395752570642,47.35703799758618,59.57099486465518,59.76391490781704,48.60746962889486,54.22032623336121,59.51739395307752,53.712026545871865,51,51,54,49,59,59,48,45,45,63,49,58,54,46,50,61,52.62
55.2929236488577,56.17066055328333,54.280157784051916,52.1147787003308,53.9421746284651,51.06886101998385,57.358979695091264,53.33869619850193,58.35749191274887,49.409084122776996,58.84296351486742,61.356207161839755,47.21988414093786,59.058845203032995,63.326907316161595,51.14035726033911,55.1424358038294,62,62,62,62,59,49,67,57,74,52,62,69,55,66,66,51,60.94
63.298706332516396,57.030939445158104,51.41078511953584,54.65699901003935,57.727478960936494,55.31587135538994,57.629624360559724,50.332476432931045,55.78264851850827,47.86727191380298,54.379714091584376,50.41630619100393,51.258194685379046,61.11631027438007,60.39239500129923,57.981535002863765,55.41232854349303,66,64,61,60,60,53,61,59,57,56,59,58,47,60,64,70,59.69
56.109672839613474,59.98919441450236,67.63672516287228,62.279821231175895,73.16788436288483,63.53782585994823,62.531482245426524,60.02565434196386,62.23894118688778,60.80888748107365,65.11178004641933,66.35474824694928,57.64128936043662,54.91507189518748,52.39020979745989,64.11119329753909,61.80314886064628,55,70,69,65,73,67,67,68,62,63,76,76,60,60,65,64,66.25
49.94304659152458,44.69542665763153,57.40277264504876,67.92487720955789,55.429525064694474,59.652333494652154,55.86902641513176,54.96543135643823,60.05526203733278,54.00850690145069,56.796841192753455,57.06836865337401,52.1194273541787,60.420091370076555,54.5850808389169,51.681153824929716,55.78857322548076,48,41,57,71,57,53,58,50,63,56,56,59,51,61,50,51,55.12
55.621030711175564,48.446141584368355,53.079387280169186,52.89288651010253,58.36795932248143,55.31197265772331,52.81334669959782,57.027312989324976,59.88951923841011,55.727533025082856,52.99024459254045,46.37930033157274,47.61291317794668,51.41235797155021,49.89092048252713,52.00362497839631,53.09165322206061,58,47,66,54,62,63,58,60,64,58,57,53,48,61,55,55,57.44
67.6114934690933,69.97670761639142,66.9757499543123,69.76075206373878,67.65061591865837,57.45091101283841,62.631566875514,66.6078060659997,61.279770130402234,70.3278874945888,74.98199800632625,73.42205310309436,66.26102948995673,74.78187452885753,68.07158113061833,65.64281398901757,67.71466317808802,72,83,82,77,72,63,69,77,61,80,74,76,71,81,73,71,73.88
