Pendidikan Agama,Pendidikan Pancasila,Bahasa Inggris,Bahasa Mandarin,Matematika (Umum),Biologi,Fisika,Kimia,Geografi,Sejarah,Sosiologi,Ekonomi,"Pendidikan Jasmani, Olahraga, dan Kesehatan",Informatika,Seni Musik,Bahasa Indonesia,Pendidikan Agama (Next Sem),Pendidikan Pancasila (Next Sem),Bahasa Inggris (Next Sem),Bahasa Mandarin (Next Sem),Matematika (Umum) (Next Sem),Biologi (Next Sem),Fisika (Next Sem),Kimia (Next Sem),Geografi (Next Sem),Sejarah (Next Sem),Sosiologi (Next Sem),Ekonomi (Next Sem),"Pendidikan Jasmani, Olahraga, dan Kesehatan (Next Sem)",Informatika (Next Sem),Seni Musik (Next Sem),Bahasa Indonesia (Next Sem),Rata-rata,Rata-rata (Next Sem)
86,84,66,82,73,66,87,82,73,84,61,74,78,61,85,92,87,85,66,75,72,70,92,75,70,78,62,70,74,65,83,93,77.12,76.06
64,79,60,87,78,95,67,62,89,85,65,84,91,86,72,61,60,80,54,85,84,97,72,69,80,81,64,83,87,84,77,66,76.56,76.44
78,61,83,66,69,64,84,71,89,66,93,62,67,90,81,68,89,63,79,66,68,65,82,70,95,74,94,60,66,92,84,67,74.5,75.88
60,66,67,68,71,61,63,85,80,67,92,87,90,86,68,65,56,69,68,64,70,73,68,81,70,62,100,93,90,87,64,70,73.5,74.06
88,61,92,76,94,62,79,85,82,64,66,89,87,87,75,85,98,52,95,74,87,59,75,86,82,63,66,86,92,88,68,72,79.5,77.69
76,81,91,93,84,68,84,69,93,82,81,76,63,82,70,89,70,87,95,90,79,79,85,64,99,86,90,77,67,87,74,85,80.12,82.12
93,77,68,87,60,63,91,79,81,68,62,95,76,69,72,84,95,75,67,85,57,60,88,81,87,69,59,100,82,64,76,81,76.56,76.62
95,86,75,95,66,83,73,63,72,86,60,67,81,64,87,86,88,88,75,89,71,91,66,72,78,90,56,64,81,67,91,90,77.44,78.56
70,70,93,68,71,66,93,72,68,83,61,91,92,75,63,63,67,77,91,61,69,64,95,74,75,83,65,94,99,68,63,64,74.94,75.56
65,67,69,82,71,91,88,73,81,90,82,67,67,71,62,80,58,64,74,87,74,91,87,64,81,94,91,63,65,65,67,81,75.38,75.38
89,85,94,77,78,66,77,74,92,88,81,83,81,92,71,84,91,86,91,70,75,67,76,70,81,81,84,78,83,97,58,89,82.0,79.81
92,64,70,69,92,67,74,68,74,82,62,80,82,61,64,70,96,57,61,65,88,65,74,65,80,85,63,85,81,59,64,68,73.19,72.25
88,73,92,68,61,72,87,73,79,78,90,62,73,61,68,66,88,75,92,61,71,87,90,69,84,75,94,64,71,75,67,68,74.44,76.94
75,68,93,94,65,73,70,76,78,63,60,85,76,89,60,70,74,68,99,100,58,75,66,75,78,61,60,89,81,86,54,71,74.69,74.69
85,91,70,75,63,94,79,72,90,79,61,88,76,91,77,86,88,96,64,73,72,96,82,76,94,80,54,92,74,98,76,86,79.81,81.31
79,88,95,93,83,62,95,61,73,91,78,76,75,60,91,72,83,85,83,91,80,63,100,56,71,86,81,84,77,66,90,72,79.5,79.25
75,71,81,70,82,63,77,94,90,87,73,70,74,90,86,65,78,79,89,70,81,64,84,100,81,93,71,68,69,100,83,75,78.0,80.31
67,89,68,82,80,60,67,86,72,86,81,60,83,66,74,91,58,91,70,77,79,66,66,89,78,94,79,55,72,70,63,95,75.75,75.12
89,88,86,64,75,92,67,72,85,82,68,81,86,95,68,67,94,86,88,60,71,88,67,77,87,84,69,72,83,94,61,74,79.06,78.44
93,87,89,84,69,60,74,76,84,79,79,94,60,80,71,68,92,88,88,96,74,69,67,76,84,77,85,94,57,79,72,66,77.94,79.0
80,86,84,77,64,94,74,94,72,65,73,68,88,75,69,89,85,84,87,67,59,90,77,92,64,66,86,68,85,74,61,89,78.25,77.12
65,95,75,77,64,73,77,70,81,64,62,65,92,95,90,68,71,99,82,73,61,66,74,72,87,67,57,63,98,89,100,68,75.81,76.69
79,62,66,88,91,92,72,87,70,93,84,64,75,66,79,88,72,66,73,98,85,92,68,88,76,97,91,62,80,64,69,89,78.5,79.38
67,93,66,60,71,75,66,68,75,66,65,83,73,82,95,61,60,90,73,61,73,77,70,66,74,57,73,83,68,78,88,63,72.88,72.12
81,82,94,74,62,73,92,65,64,86,62,86,86,66,77,79,81,81,100,76,65,78,93,63,54,91,65,88,87,63,76,79,76.81,77.5
84,77,82,60,71,93,66,71,61,68,89,95,77,87,95,85,85,76,84,62,77,99,68,75,66,72,80,94,68,94,95,74,78.81,79.31
65,86,86,67,74,91,70,62,87,62,69,91,75,78,62,70,66,94,93,66,69,93,77,62,87,62,68,87,67,88,62,71,74.69,75.75
88,62,75,90,89,74,84,79,81,68,74,71,61,77,63,88,88,62,72,96,87,73,84,81,84,67,74,69,62,74,59,88,76.5,76.25
80,63,76,75,92,85,63,88,82,91,85,94,89,64,61,80,70,58,74,81,85,91,56,92,81,94,74,89,83,56,68,82,79.25,77.12
78,80,61,91,60,92,78,64,95,82,79,65,94,77,92,95,73,80,62,89,51,92,85,64,92,69,80,67,95,81,92,94,80.19,79.12
93,83,86,92,84,70,85,77,83,81,67,77,93,62,62,77,93,93,87,90,93,72,84,73,81,95,67,86,93,52,56,78,79.5,80.81
67,71,84,66,87,91,89,72,95,71,94,73,94,67,71,70,70,73,85,66,82,83,82,69,91,73,90,76,94,70,71,69,78.88,77.75
95,77,60,95,66,94,83,79,79,84,80,62,64,79,91,78,94,72,63,99,65,98,85,79,78,79,78,53,58,79,86,80,79.12,77.88
